num,x,y,targetX,targetY,errorX,errorY,tot_error,PID_x,PID_y
76,1.8,5.5,0,0,-1.8,-5.5,5.7870545184921145,-2.48069875190457,-3.515817020569026
77,1.5,4.7,0,0,-1.5,-4.7,4.933558553417604,-1.3473420823455267,-3.280872933176166
78,1.2,3.8,0,0,-1.2,-3.8,3.9849717690342548,-1.7565428579577818,-5.475594956689648
79,1.0,3.0,0,0,-1.0,-3.0,3.1622776601683795,-0.46351512990463317,-3.535154603645762
80,0.8,2.1,0,0,-0.8,-2.1,2.247220505424423,-0.841461624664964,-6.164377890848394
81,0.5,1.5,0,0,-0.5,-1.5,1.5811388300841898,-1.6422803506928654,-2.456491337624291
82,0.4,0.7,0,0,-0.4,-0.7,0.8062257748298549,0.1153620750288713,-5.13593105365021
83,0.2,0.2,0,0,-0.2,-0.2,0.28284271247461906,-1.012846679134626,-2.5480611645892157
84,0.0,-0.5,0,0,0.0,0.5,0.5,-1.3955252311697586,-5.907279190294958
85,0.0,-1.1,0,0,0.0,1.1,1.1,0.9091717125415802,-4.01172766517934
86,-0.1,-1.4,0,0,0.1,1.4,1.40356688476182,-0.15723158094451162,-1.3599720177143868
87,-0.3,-2.1,0,0,0.3,2.1,2.1213203435596424,-0.9378576926555168,-4.613232937928174
88,-0.4,-2.2,0,0,0.4,2.2,2.23606797749979,-0.4827903349921955,0.06481285862938968
89,-0.5,-2.9,0,0,0.5,2.9,2.9427877939124323,-0.286237329387795,-5.688818848783447
90,-0.6,-3.0,0,0,0.6,3.0,3.059411708155671,-0.5307819562033209,-0.325838334107891
91,-0.7,-3.4,0,0,0.7,3.4,3.471310991541956,-0.3494967879436037,-2.9957813264338418
92,-0.7,-3.7,0,0,0.7,3.7,3.7656340767525465,0.5343419040441513,-2.9359743568918963
93,-0.9,-3.8,0,0,0.9,3.8,3.905124837953327,-1.7273518815040185,-0.7826172469249244
94,-1.0,-4.2,0,0,1.0,4.2,4.317406628984581,-0.4733675281190147,-3.3117498891078196
95,-1.1,-4.2,0,0,1.1,4.2,4.341658669218482,-0.7235991633252832,-0.002655996561050422
96,-1.1,-4.6,0,0,1.1,4.6,4.729693436154187,0.29429607446193695,-4.502725144291887
97,-1.2,-4.7,0,0,1.2,4.7,4.850773134253962,-0.761351746039877,-1.3401301041802882
98,-1.2,-4.7,0,0,1.2,4.7,4.850773134253962,0.22085973489284527,-0.392083332490921
99,-1.2,-5.0,0,0,1.2,5.0,5.141984052872976,0.2046463298559189,-3.144833428581422
100,-1.3,-4.8,0,0,1.3,4.8,4.972926703662543,-0.8062439739474009,1.3260970847458662
101,-1.3,-5.2,0,0,1.3,5.2,5.360037313302959,0.12633086535930627,-4.9490240083690855
102,-1.3,-5.1,0,0,1.3,5.1,5.263078946776307,0.11052425813674926,0.11074764101924994
103,-1.4,-5.2,0,0,1.4,5.2,5.385164807134505,-1.0599747741009022,-2.03908648374501
104,-1.4,-5.3,0,0,1.4,5.3,5.481788029466299,0.030096648359298706,-1.9499614519709372
105,-1.5,-5.3,0,0,1.5,5.3,5.508175741568165,-1.146080904975939,-1.102350284862518
106,-1.6,-5.5,0,0,1.6,5.5,5.728001396647874,-1.1046033560389397,-3.26903675749094
107,-1.7,-5.3,0,0,1.7,5.3,5.565968020030298,-1.1517273622162378,0.7390756642779042
